Sample_name,Species,Lake,Sampling_Year,BioProject,BioSample,Organism,sex
Aye_cit_d_nlp_00660,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815833,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_00675,Amphilophus cf. citrinellus,CL Apoyeque,2007,PRJEB38173,SAMEA6815834,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_02437,Amphilophus cf. citrinellus,CL Apoyeque,2013,PRJEB38173,SAMEA6815835,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_02460,Amphilophus cf. citrinellus,CL Apoyeque,2013,PRJEB38173,SAMEA6815836,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_02461,Amphilophus cf. citrinellus,CL Apoyeque,2013,PRJEB38173,SAMEA6815837,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_02462,Amphilophus cf. citrinellus,CL Apoyeque,2013,PRJEB38173,SAMEA6815838,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_05120,Amphilophus cf. citrinellus,CL Apoyeque,2005,PRJEB38173,SAMEA6815839,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_13518,Amphilophus cf. citrinellus,CL Apoyeque,2010,PRJEB38173,SAMEA6815840,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_13523,Amphilophus cf. citrinellus,CL Apoyeque,2010,PRJEB38173,SAMEA6815841,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_13549,Amphilophus cf. citrinellus,CL Apoyeque,2010,PRJEB38173,SAMEA6815842,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_17850,Amphilophus cf. citrinellus,CL Apoyeque,2015,PRJEB38173,SAMEA6815843,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_17859,Amphilophus cf. citrinellus,CL Apoyeque,2015,PRJEB38173,SAMEA6815844,Amphilophus_citrinellus,missing
Aye_cit_d_nlp_17860,Amphilophus cf. citrinellus,CL Apoyeque,2015,PRJEB38173,SAMEA6815845,Amphilophus_citrinellus,missing
