NW_020799478.1	QEEU01000112.1
NW_020799479.1	QEEU01000060.1
NW_020799480.1	QEEU01000113.1
NW_020799481.1	QEEU01000114.1
NW_020799482.1	QEEU01000116.1
NW_020799483.1	QEEU01000117.1
NW_020799484.1	QEEU01000118.1
NW_020799485.1	QEEU01000119.1
NW_020799486.1	QEEU01000120.1
NW_020799487.1	QEEU01000121.1
NW_020799488.1	QEEU01000122.1
NW_020799489.1	QEEU01000123.1
NW_020799490.1	QEEU01000061.1
NW_020799491.1	QEEU01000124.1
NW_020799492.1	QEEU01000125.1
NW_020799493.1	QEEU01000126.1
NW_020799494.1	QEEU01000127.1
NW_020799495.1	QEEU01000128.1
NW_020799496.1	QEEU01000129.1
NW_020799497.1	QEEU01000130.1
NW_020799498.1	QEEU01000131.1
NW_020799499.1	QEEU01000132.1
NW_020799500.1	QEEU01000133.1
NW_020799501.1	QEEU01000063.1
NW_020799502.1	QEEU01000134.1
NW_020799503.1	QEEU01000135.1
NW_020799504.1	QEEU01000136.1
NW_020799505.1	QEEU01000137.1
NW_020799506.1	QEEU01000138.1
NW_020799507.1	QEEU01000139.1
NW_020799508.1	QEEU01000140.1
NW_020799509.1	QEEU01000141.1
NW_020799510.1	QEEU01000142.1
NW_020799511.1	QEEU01000143.1
NW_020799512.1	QEEU01000064.1
NW_020799513.1	QEEU01000144.1
NW_020799514.1	QEEU01000145.1
NW_020799515.1	QEEU01000146.1
NW_020799516.1	QEEU01000147.1
NW_020799517.1	QEEU01000148.1
NW_020799518.1	QEEU01000149.1
NW_020799519.1	QEEU01000150.1
NW_020799520.1	QEEU01000151.1
NW_020799521.1	QEEU01000152.1
NW_020799522.1	QEEU01000153.1
NW_020799523.1	QEEU01000065.1
NW_020799524.1	QEEU01000154.1
NW_020799525.1	QEEU01000155.1
NW_020799526.1	QEEU01000156.1
NW_020799527.1	QEEU01000157.1
NW_020799528.1	QEEU01000158.1
NW_020799529.1	QEEU01000159.1
NW_020799530.1	QEEU01000160.1
NW_020799531.1	QEEU01000161.1
NW_020799532.1	QEEU01000162.1
NW_020799533.1	QEEU01000163.1
NW_020799534.1	QEEU01000055.1
NW_020799535.1	QEEU01000057.1
