BioProject,BioSample,Organism,sex,Country,Continent,Submitter_Id,Population,Sample,Locality,Organism.x,Organism.y,refGenome,refSpecies
PRJEB11502,SAMEA3638045,Ficedula_albicollis,male,Sweden,Europe,u117,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638025,Ficedula_albicollis,male,Sweden,Europe,u118,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638054,Ficedula_albicollis,male,Sweden,Europe,u119,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638041,Ficedula_albicollis,male,Sweden,Europe,u120,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638033,Ficedula_albicollis,male,Sweden,Europe,u121,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638039,Ficedula_albicollis,male,Sweden,Europe,u122,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638037,Ficedula_albicollis,male,Sweden,Europe,u123,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638058,Ficedula_albicollis,male,Sweden,Europe,u125,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638032,Ficedula_albicollis,male,Sweden,Europe,u126,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638034,Ficedula_albicollis,male,Sweden,Europe,u128,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638029,Ficedula_albicollis,male,Sweden,Europe,u129,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638062,Ficedula_albicollis,male,Sweden,Europe,u130,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638066,Ficedula_albicollis,male,Sweden,Europe,u131,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638035,Ficedula_albicollis,male,Sweden,Europe,u134,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638044,Ficedula_albicollis,male,Sweden,Europe,u135,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638051,Ficedula_albicollis,male,Sweden,Europe,u136,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638046,Ficedula_albicollis,male,Sweden,Europe,u137,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638055,Ficedula_albicollis,male,Sweden,Europe,u138,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638026,Ficedula_albicollis,male,Sweden,Europe,u139,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638060,Ficedula_albicollis,male,Sweden,Europe,u140,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638022,Ficedula_albicollis,male,Sweden,Europe,u141,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638061,Ficedula_albicollis,male,Sweden,Europe,u142,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638050,Ficedula_albicollis,male,Sweden,Europe,u143,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638043,Ficedula_albicollis,male,Sweden,Europe,u144,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638028,Ficedula_albicollis,male,Sweden,Europe,u145,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638047,Ficedula_albicollis,male,Sweden,Europe,u146,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638036,Ficedula_albicollis,male,Sweden,Europe,u147,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638042,Ficedula_albicollis,male,Sweden,Europe,u149,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638065,Ficedula_albicollis,male,Sweden,Europe,u116,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638007,Ficedula_albicollis,male,Sweden,Europe,u033,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638064,Ficedula_albicollis,male,Sweden,Europe,u111,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638030,Ficedula_albicollis,male,Sweden,Europe,u113,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638015,Ficedula_albicollis,male,Sweden,Europe,u001,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3637989,Ficedula_albicollis,male,Sweden,Europe,u034,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638006,Ficedula_albicollis,male,Sweden,Europe,u027,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638052,Ficedula_albicollis,male,Sweden,Europe,u133,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638056,Ficedula_albicollis,male,Sweden,Europe,u132,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638010,Ficedula_albicollis,male,Sweden,Europe,u020,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB11502,SAMEA3638049,Ficedula_albicollis,male,Sweden,Europe,u106,OC,NA,Öland,NA,NA,GCF_000247815.1,Ficedula_albicollis
\n
PRJEB7359,SAMEA3175226,Ficedula_hyperythra,male,Unknown,Unknown,FHYP_148317,FHYP,148317,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
\n
PRJEB7359,SAMEA3167980,Ficedula_hypoleuca,male,Czech Republic,Europe,CZP_312350,CZP,312350,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3167982,Ficedula_hypoleuca,female,Czech Republic,Europe,CZP_312466,CZP,312466,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
PRJEB7359,SAMEA3167983,Ficedula_hypoleuca,male,Czech Republic,Europe,CZP_312467,CZP,312467,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis
