Sample	Total_alignments	Percent_mapped	Percent_duplicates	Percent_properly_paired	Fraction_reads_pass_filter	Num_filtered_reads
SAMN05930689 	 9414787 	 98.61 	 0.015108892001486598 	 90.28 	 0.9530136493377469 	 9306752
SAMN05930484 	 6555850 	 98.46 	 0.007115477016710266 	 90.13 	 0.9539622828278246 	 6476200
SAMN05930485 	 5754544 	 98.58 	 0.008773762091314273 	 90.59 	 0.9576597139138943 	 5692812
SAMN05930488 	 7020158 	 98.62 	 0.009845647348677907 	 90.59 	 0.9539044102015768 	 6937142
SAMN05930490 	 4999417 	 98.5 	 0.007207440387549188 	 90.14 	 0.952668643496738 	 4942544
SAMN05930489 	 1105449 	 98.45 	 0.00948935681338533 	 90.56 	 0.963435137373773 	 1093364
SAMN05930491 	 7221035 	 98.44 	 0.010090797233360592 	 90.48 	 0.9502286589830999 	 7136928
SAMN05930671 	 5575087 	 98.68 	 0.00914604561327922 	 90.06 	 0.9521928963893249 	 5512298
SAMN05930716 	 4956891 	 98.57 	 0.010830579086770317 	 90.29 	 0.9662071939134246 	 4903030
SAMN05930718 	 7902040 	 98.68 	 0.012184322023173762 	 90.61 	 0.9640681320025489 	 7818500
SAMN05930712 	 10437459 	 98.66 	 0.013489873349442618 	 90.18 	 0.9620309028556263 	 10323848
SAMN05930713 	 10811815 	 98.66 	 0.014250058847658788 	 90.34 	 0.9631655601581267 	 10693536
SAMN05930715 	 10072483 	 98.63 	 0.013878702997066363 	 90.15 	 0.9595906186391722 	 9963320
SAMN05930650 	 14303271 	 98.64 	 0.015418011726128939 	 90.21 	 0.9608590349291275 	 14140138
SAMN05930494 	 3748999 	 98.57 	 0.008556417326331642 	 90.6 	 0.9627872267944015 	 3707994
SAMN05930498 	 9929741 	 98.49 	 0.010200769587041596 	 90.32 	 0.959117372553408 	 9822204
SAMN05930496 	 8639236 	 98.55 	 0.010385177578202518 	 90.91 	 0.9647750222022762 	 8547378
SAMN05930499 	 9909710 	 98.42 	 0.01045762186784477 	 90.61 	 0.9605796874234481 	 9803196
SAMN05930705 	 6566311 	 98.7 	 0.008966526258046566 	 90.7 	 0.9631971120332935 	 6494318
SAMN05930703 	 6502626 	 98.61 	 0.013995422772276923 	 90.37 	 0.9546097121741416 	 6429936
SAMN05930702 	 7760106 	 98.65 	 0.01550481398063377 	 90.29 	 0.9544977679126874 	 7671604
SAMN05930709 	 6173812 	 98.71 	 0.012762455351734066 	 90.65 	 0.9614186475119323 	 6103374
SAMN05930708 	 12067963 	 98.66 	 0.01376553772993835 	 90.56 	 0.9657027690916468 	 11934910
SAMN05930707 	 8958537 	 98.72 	 0.011452762878581626 	 90.68 	 0.965107641770627 	 8861020
SAMN05930706 	 8395784 	 98.65 	 0.016583204141507213 	 90.3 	 0.9615082873529646 	 8302126
SAMN05930598 	 8424 	 85.79 	 0.007597340930674264 	 78.35 	 0.9478576286556336 	 8362
SAMN05930700 	 6509270 	 98.67 	 0.014406684620548848 	 90.51 	 0.9623972732833515 	 6435002
SAMN05930669 	 7018972 	 98.68 	 0.009565503324418448 	 90.02 	 0.9539466867980612 	 6942368
SAMN05930592 	 9089361 	 98.56 	 0.009602655236160166 	 90.32 	 0.9546817730961416 	 8993530
SAMN05930560 	 11928604 	 97.45 	 0.011141119279338974 	 89.85 	 0.9592815015811115 	 11799362
SAMN05930558 	 8328732 	 97.0 	 0.009065965863711306 	 89.47 	 0.9630330450268774 	 8236760
SAMN05930555 	 10401157 	 98.03 	 0.010947147514454402 	 90.41 	 0.9657260533764324 	 10282178
SAMN05930554 	 7844108 	 98.32 	 0.007955525344628095 	 90.19 	 0.9565878863125133 	 7760170
SAMN05930597 	 9324980 	 98.52 	 0.008141036227423544 	 90.55 	 0.9540679196786617 	 9229218
SAMN05930668 	 11515723 	 98.63 	 0.01503318549777552 	 90.28 	 0.9652551833846956 	 11390488
SAMN05930658 	 5491230 	 98.66 	 0.010931430663075486 	 89.9 	 0.9537174551432466 	 5430162
SAMN05930566 	 7260071 	 98.46 	 0.008137110504842171 	 90.17 	 0.9577096165544656 	 7185316
SAMN05930567 	 11047951 	 98.38 	 0.008513614877546071 	 90.3 	 0.9582592968511716 	 10927186
SAMN05930569 	 9326924 	 98.55 	 0.009057434155140537 	 90.43 	 0.960339749882624 	 9224918
SAMN05930570 	 7335807 	 98.57 	 0.008469961109936508 	 90.82 	 0.9641131517972918 	 7256764
SAMN05930562 	 12195261 	 97.6 	 0.011940949849289818 	 90.05 	 0.9661618985518624 	 12061198
SAMN05930727 	 3490485 	 98.67 	 0.012625179595385741 	 90.45 	 0.9652590616078082 	 3453278
SAMN05930729 	 8598882 	 98.72 	 0.013786559694620766 	 90.7 	 0.9665950264605102 	 8505580
SAMN05930723 	 870909 	 98.44 	 0.013319416839187562 	 90.12 	 0.9599948288390298 	 861388
SAMN05930725 	 8315271 	 98.63 	 0.011723851213027213 	 90.03 	 0.9635801319336326 	 8225226
SAMN05930656 	 3868899 	 98.64 	 0.009129212212570036 	 89.99 	 0.9509913911587264 	 3826350
SAMN05930720 	 8390458 	 98.64 	 0.013425846360234448 	 90.11 	 0.9625821950634479 	 8298964
SAMN05930579 	 5735569 	 98.29 	 0.008391320895973877 	 90.2 	 0.9581356195003407 	 5672732
SAMN05930580 	 9625112 	 98.43 	 0.010037181905000171 	 90.68 	 0.9587725857375192 	 9524374
SAMN05930576 	 8378911 	 98.36 	 0.007510283854309945 	 90.2 	 0.9598997847865319 	 8287984
SAMN05930661 	 9793411 	 98.65 	 0.012831688571019842 	 90.23 	 0.9589404718208948 	 9687512
SAMN05930573 	 3579325 	 98.66 	 0.007337975735648481 	 90.5 	 0.9611993586886236 	 3540772
SAMN05930572 	 8547221 	 98.62 	 0.008685981092567982 	 90.72 	 0.9637359589674032 	 8457980
SAMN05930655 	 11227643 	 98.65 	 0.015173799166931118 	 90.46 	 0.9574098240644908 	 11105998
SAMN05930664 	 5538758 	 98.61 	 0.014347079254952103 	 90.37 	 0.9573554955213135 	 5478620
SAMN05930674 	 898248 	 98.58 	 0.010656299819203605 	 89.57 	 0.9382701952923465 	 887476
SAMN05930590 	 4017758 	 98.55 	 0.007167927983716292 	 90.81 	 0.9624743897101825 	 3976128
SAMN05930589 	 10084748 	 98.45 	 0.00834725865237287 	 90.44 	 0.9570433985059257 	 9979660
SAMN05930584 	 4923255 	 98.36 	 0.007867762283286159 	 90.09 	 0.9511504206370065 	 4871334
SAMN05930583 	 10702718 	 98.52 	 0.009452084975050262 	 90.44 	 0.9556815528149608 	 10591272
SAMN05930454 	 8442069 	 98.33 	 0.007072081500399961 	 90.08 	 0.9611736926885208 	 8351396
SAMN05930666 	 7665016 	 98.64 	 0.013524694534231892 	 90.22 	 0.95267992269287 	 7580316
SAMN05930461 	 12694043 	 98.57 	 0.01026442087836003 	 90.44 	 0.9567762700082844 	 12558586
SAMN05930459 	 9685563 	 98.6 	 0.009068961711363604 	 90.51 	 0.9591767621784997 	 9578930
SAMN05930460 	 6030916 	 98.55 	 0.009929005809399434 	 90.77 	 0.9643926599408861 	 5968360
SAMN05930458 	 7827146 	 98.47 	 0.009570027184876838 	 90.19 	 0.9589480450476895 	 7742652
