BioProject,BioSample,Organism,sex,Submitter_Id,Location,State,Country,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA612146,SAMN14363303,Hippocampus_kelloggi,missing,Hkg_17,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes,176537074,0,1899773,0.0107613,20002429,10.8311,0.0206176,-0.00753444,0.00310251,0.0274822,-0.00687859,-8.94664e-4,0.0301616,0.0740761,0.102156,-0.172296,cluster_7,outgroup,NA
PRJNA612146,SAMN14363244,Hippocampus_histrix,missing,Hht_20,Brunei Bay,NA,Philippines,GCF_001891065.1,Hippocampus_comes,176537074,0,1921169,0.0108825,22173693,10.7109,-0.0147467,0.0137712,-0.0298598,0.0106491,0.158265,0.0767422,-0.094653,0.0200642,-0.00212414,0.00145367,cluster_6,outgroup,NA
PRJNA612146,SAMN14363288,Hippocampus_kelloggi,missing,Hkg_2,Colombo,NA,Sri Lanka,GCF_001891065.1,Hippocampus_comes,176537074,0,1943599,0.0110096,19991718,9.99562,0.0206321,-0.00748139,0.00308421,0.0274399,-0.00677237,-9.32679e-4,0.0301927,0.0741992,0.10243,-0.172141,cluster_7,outgroup,NA
PRJNA612146,SAMN14363230,Hippocampus_histrix,missing,Hht_6,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes,176537074,0,1957890,0.0110905,22169194,10.6377,-0.0147775,0.0139714,-0.0301407,0.0108001,0.160003,0.0776822,-0.0957212,0.0202455,-0.00212932,0.00144149,cluster_6,outgroup,NA
PRJNA612146,SAMN14363223,Hippocampus_hippocampus,missing,Hhc_19,Tunis,NA,Tunisia,GCF_001891065.1,Hippocampus_comes,176537074,0,1958517,0.0110941,26139932,18.0561,0.0322623,-0.0182848,0.0148531,-0.0391352,-0.00416398,2.87736e-4,0.0333708,0.103263,-0.107904,0.00421157,cluster_4,outgroup,NA
PRJNA612146,SAMN14363235,Hippocampus_histrix,missing,Hht_11,Nha Trang,NA,Vietnum,GCF_001891065.1,Hippocampus_comes,176537074,0,1979564,0.0112133,22176468,11.0725,-0.0147249,0.0139034,-0.0302777,0.0106377,0.160585,0.0780733,-0.096458,0.0203619,-0.00227646,0.00144509,cluster_6,outgroup,NA
PRJNA612146,SAMN14363300,Hippocampus_kelloggi,missing,Hkg_14,Abu Dhabi,NA,United Arab Emirates,GCF_001891065.1,Hippocampus_comes,176537074,0,1986644,0.0112534,19986692,10.0175,0.0205407,-0.00748095,0.00299178,0.0275954,-0.0067866,-9.49396e-4,0.0304356,0.0743156,0.102973,-0.172996,cluster_7,outgroup,NA
PRJNA612146,SAMN14363322,Hippocampus_kuda,missing,Hku_18,Ho Chi Minh City,NA,Vietnum,GCF_001891065.1,Hippocampus_comes,176537074,0,2001058,0.0113351,22048586,16.865,0.0373112,-0.0165161,0.00908241,0.0514821,-0.0301491,0.00285143,-0.0284161,-0.0360576,-0.0153044,0.00287831,cluster_5,outgroup,NA
PRJNA612146,SAMN14363098,Hippocampus_algiricus,missing,Hag_4,Luanda,NA,Angola,GCF_001891065.1,Hippocampus_comes,176537074,0,2007290,0.0113704,23781906,17.8377,0.0381391,-0.0167656,0.00941507,0.0547442,-0.0320276,0.00278824,-0.0317039,-0.037842,-0.0161738,0.00398025,cluster_5,outgroup,NA
PRJNA612146,SAMN14363289,Hippocampus_kelloggi,missing,Hkg_3,Colombo,NA,Sri Lanka,GCF_001891065.1,Hippocampus_comes,176537074,0,2041513,0.0115642,19979789,9.53959,0.0208301,-0.00761201,0.00324638,0.0269093,-0.00686947,-9.34331e-4,0.030304,0.0737794,0.101403,-0.172375,cluster_10,outgroup,NA
