BioProject,BioSample,Organism,sex,Submitter_Id,Ecotype,Site,Site_Type,Year,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA431202,SAMN08465484,Athene_cunicularia,female,BO15-106,A_urban_2014,A,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,484863,0.00597907,23956555,15.1037,-0.00897295,-0.0716626,-0.0289697,-0.0962503,0.0242331,0.0489479,0.00909196,-0.0227224,0.00875354,-0.0141436,cluster_5,ingroup,NA
PRJNA431202,SAMN08465506,Athene_cunicularia,female,BO15-092,B_urban_2013,B,urban,2013,GCA_003259725.1,Athene_cunicularia,81093328,0,485266,0.00598404,23956837,15.1359,-0.00867666,0.028529,-0.160789,-0.00728178,0.0146941,-0.0059739,-0.00672754,-0.0147471,0.0254082,0.0350725,cluster_2,ingroup,NA
PRJNA431202,SAMN08465486,Athene_cunicularia,female,BO15-108,A_urban_2014,A,urban,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,487288,0.00600898,23957017,12.6367,-0.00945602,-0.00162936,0.104733,-0.220863,0.0569657,0.0463657,-0.309617,0.25008,0.154367,0.0232394,cluster_2,exclude,7
PRJNA431202,SAMN08465476,Athene_cunicularia,male,BO15-135,A_rural_2014,A,rural,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,490117,0.00604386,23959963,14.6812,-0.00727155,0.0313328,0.0821882,-0.0277256,-0.0183424,0.00841093,-0.0348332,0.0218415,-0.0596131,0.0110216,cluster_2,ingroup,NA
PRJNA431202,SAMN08465475,Athene_cunicularia,male,BO15-134,A_rural_2014,A,rural,2014,GCA_003259725.1,Athene_cunicularia,81093328,0,497753,0.00613803,23959920,14.0441,-0.00471564,0.0376764,0.0726054,1.60066e-4,-0.0312562,-0.00527444,-0.00408536,0.0127814,-0.0758259,0.00360227,cluster_2,ingroup,NA
PRJNA431202,SAMN08465577,Athene_cunicularia,female,BO17-007,B_rural_2016,B,rural,2016,GCA_003259725.1,Athene_cunicularia,81093328,0,498540,0.00614773,23959574,17.273,-0.00724822,-0.0602837,-0.0645712,-0.00611871,-0.00545963,0.00604182,-0.0212886,-0.0263688,-0.0436736,-0.0226184,cluster_5,ingroup,NA
PRJNA431202,SAMN08465550,Athene_cunicularia,female,BO15-070,C3_urban_2012,C3,urban,2012,GCA_003259725.1,Athene_cunicularia,81093328,0,498950,0.00615279,23963199,12.7198,-0.00925917,-0.0823269,-0.00489759,0.0773827,-0.453864,-0.00326584,0.077944,0.0687446,0.334381,-0.347513,cluster_5,ingroup,5
PRJNA431202,SAMN08465572,Athene_cunicularia,female,BO17-002,B_rural_2016,B,rural,2016,GCA_003259725.1,Athene_cunicularia,81093328,0,501112,0.00617945,23960000,17.0631,-0.00645117,-0.062515,-0.0625273,-0.0102801,-0.0120412,-0.00230978,-0.0166351,-0.0173803,-0.0449113,-0.0151163,cluster_5,ingroup,NA
PRJNA431202,SAMN08465542,Athene_cunicularia,male,BO15-075,C1_urban_2012,C1,urban,2012,GCA_003259725.1,Athene_cunicularia,81093328,0,501223,0.00618082,23956957,12.8538,-0.00792721,0.00561931,0.0986566,0.11523,0.0661256,-0.0013968,-0.00546522,-6.069e-4,0.00641107,0.0343484,cluster_2,ingroup,NA
PRJNA431202,SAMN08465554,Athene_cunicularia,male,BO15-041,C3_urban_2012,C3,urban,2012,GCA_003259725.1,Athene_cunicularia,81093328,0,502807,0.00620035,23964416,15.7053,-0.00877614,0.00250758,0.079577,0.057893,-0.377672,-0.0074956,0.0607294,0.0740968,0.254348,-0.312214,cluster_2,exclude,5
