BioProject,BioSample,Organism,sex,Country,Continent,Submitter_Id,Population,Sample,Locality,Organism.x,Organism.y,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB7359,SAMEA2785538,Ficedula_hypoleuca,male,Sweden,Europe,SP_11,SP,11,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1399984,0.0117954,34372579,19.9536,0.0877716,0.028592,0.0370451,-0.00547616,-0.060357,0.0151005,-7.13981e-4,-0.00162369,-3.2966e-4,0.00127368,cluster_5,outgroup,NA
PRJEB7359,SAMEA3175121,Ficedula_speculigera,male,Morocco,Africa,FSP08-010,FSP08,010,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1401674,0.0118096,22489512,16.368,0.0497636,-0.0320866,-0.200926,-0.0143984,-0.00156392,-0.00208712,-0.00115709,-0.00205107,-0.00150891,0.00559661,cluster_1,outgroup,NA
PRJEB7359,SAMEA3172491,Ficedula_hypoleuca,female,Spain,Europe,E_F_28,E,F_28,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1412532,0.0119011,34370674,20.0087,0.0795507,0.0250059,0.0308551,8.92434e-4,0.198232,-0.0651967,-4.40908e-4,5.63999e-4,-0.0038836,0.00264417,cluster_2,outgroup,NA
PRJEB7359,SAMEA3172504,Ficedula_hypoleuca,male,Spain,Europe,E_M_57,E,M_57,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1462728,0.012324,34371686,19.1466,0.080089,0.0253491,0.0306612,0.00566706,0.199914,-0.0743349,6.81537e-4,-0.00251086,-0.00198316,-0.0121374,cluster_2,outgroup,NA
PRJEB7359,SAMEA3174138,Ficedula_semitorquata,female,Bulgaria,Europe,FST_2,FST,2,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1462907,0.0123255,21317937,9.45092,-2.38502e-4,-0.203059,0.0514165,-0.00787028,0.00120277,7.81089e-4,-0.0150088,0.0804154,-0.0757452,0.0320965,cluster_8,outgroup,NA
PRJEB7359,SAMEA2785549,Ficedula_hypoleuca,male,Sweden,Europe,SP_SV1,SP,SV1,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1468053,0.0123689,34369634,16.1017,0.0870747,0.028491,0.0372989,-0.00548766,-0.0608946,0.0171195,-1.06352e-5,-9.02841e-4,-2.84478e-4,-0.0101487,cluster_5,outgroup,NA
PRJEB7359,SAMEA3174129,Ficedula_semitorquata,female,Bulgaria,Europe,FST_11,FST,11,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1468563,0.012373200000000001,21317378,10.9641,-6.1332e-4,-0.204058,0.0522612,-0.012454,0.00190958,0.00245836,0.0146395,0.136507,-0.119353,0.112804,cluster_8,outgroup,NA
PRJEB7359,SAMEA2785551,Ficedula_hypoleuca,male,Sweden,Europe,SP_SV3,SP,SV3,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1482901,0.012494,34370783,13.639,0.0870975,0.028595,0.037107,-0.00860984,-0.0535807,0.0125293,7.84407e-4,-5.84098e-4,1.82733e-5,-0.00697841,cluster_5,outgroup,NA
PRJEB7359,SAMEA3175120,Ficedula_speculigera,male,Morocco,Africa,FSP08-009,FSP08,009,Unknown,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1492642,0.012576,22489292,15.7949,0.0497347,-0.0320751,-0.201095,-0.0160164,2.34348e-4,-0.00328734,0.00137485,-0.00619179,9.96583e-4,-6.17581e-5,cluster_1,outgroup,NA
PRJEB7359,SAMEA2785548,Ficedula_hypoleuca,female,Sweden,Europe,SP_SV10,SP,SV10,Uppsala,NA,NA,GCF_000247815.1,Ficedula_albicollis,118689414,0,1518109,0.0127906,34366654,13.7765,0.0870567,0.028129,0.0374757,-0.00478441,-0.0510086,0.0196837,2.22424e-4,0.00257344,-0.00104541,0.00134948,cluster_5,outgroup,NA
