BioProject,BioSample,Organism,sex,Locality,Province,Sample Name,Population,Continent,Country,Submitter_ID,Latitude,Longitude,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA274877,SAMN03333188,Parus_major,missing,Yanbian,Sichuan,3918,EH,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2078000,0.0415654,49973627,4.45109,0.185753,-0.158986,0.0101525,-0.0821218,0.190953,-0.0305178,-0.00384512,-0.00428114,-0.0210899,0.0174801,cluster_3,ingroup,NA
PRJNA274877,SAMN03333205,Parus_major,missing,Tushig,Mongolia,15100,MON,Asia,Mongolia,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2160874,0.0432231,49985508,4.10834,-0.0941526,-0.00755597,-0.00198842,0.00213127,7.41977e-4,1.43663e-5,-0.00178248,0.00138525,0.00197797,4.14845e-4,cluster_2,ingroup,NA
PRJNA274877,SAMN03333214,Parus_major,missing,Panjin,Liaoning,10637,CE,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2164536,0.0432964,49975610,4.54625,0.153827,0.251586,0.256436,0.359811,0.133356,-0.0376568,-0.0571616,-0.170934,-0.371586,0.0655248,cluster_1,ingroup,NA
PRJNA274877,SAMN03333213,Parus_major,missing,Panjin,Liaoning,10636,CE,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2168821,0.0433821,49975266,4.33652,0.153948,0.25273,0.273884,0.430067,0.199376,0.143892,0.139462,0.237612,0.664054,-0.162567,cluster_1,ingroup,NA
PRJNA274877,SAMN03333219,Parus_major,missing,Yongdeng,Gansu,12003,CE,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2278093,0.0455678,49970634,4.64454,0.158519,0.194392,-0.121664,-0.228578,-0.0491208,0.896192,-0.0847438,-0.15383,-0.0645348,-0.106987,cluster_1,ingroup,NA
PRJNA274877,SAMN03333206,Parus_major,missing,Tushig,Mongolia,15110,MON,Asia,Mongolia,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2325939,0.0465249,49981845,3.89337,-0.0957194,-0.00852034,-7.96382e-4,0.00160166,-0.00211403,-8.67147e-5,-0.00134553,-1.05015e-5,-2.48e-4,3.1221e-4,cluster_2,ingroup,NA
PRJNA304164,SAMN04296361,Parus_major,female,Groblas,NA,NA,NA,Europe,Poland,1376,50.06,20.25,GCF_001522545.3,Parus_major,49993475,0,2509980,0.0502062,49984222,4.4144,-0.0920914,-0.00757998,-0.00284271,-0.00107164,-2.86299e-4,0.00201692,0.00347821,-0.0036528,8.48926e-4,-0.00198307,cluster_2,ingroup,NA
PRJNA274877,SAMN03333198,Parus_major,missing,Lijiang,Yunnan,13996,EH,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2543370,0.050874,49969869,4.12576,0.188431,-0.181124,-0.00969421,-0.103379,0.300232,-0.0343003,-0.0189652,0.00274255,0.0216581,0.00183775,cluster_3,ingroup,NA
PRJNA274877,SAMN03333202,Parus_major,missing,Eerguna,Inner Mongolia,11564,MON,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2557728,0.0511612,49981806,3.95727,-0.093918,-0.00942822,-0.00281931,4.2174e-4,-0.00214035,0.00154377,0.0010281,-0.00164871,8.33541e-4,1.80245e-4,cluster_2,ingroup,NA
PRJNA274877,SAMN03333207,Parus_major,missing,Tushig,Mongolia,15111,MON,Asia,Mongolia,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2692843,0.0538639,49980553,3.90759,-0.095704,-0.00891217,-0.00124342,6.18555e-4,-0.00128188,0.00193725,-1.489e-4,-0.00110851,0.001241,1.42674e-4,cluster_2,ingroup,NA
PRJNA274877,SAMN03333209,Parus_major,missing,Shenlongjia,Hubei,8204,CE,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2787311,0.0557535,49973501,4.52144,0.151526,0.200752,0.111043,-0.334748,-0.169719,-0.219691,0.605676,-0.518306,0.149854,-0.23518,cluster_1,ingroup,NA
PRJNA274877,SAMN03333197,Parus_major,missing,Lijiang,Yunnan,13995,EH,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,2959198,0.0591917,49969545,4.32726,0.187962,-0.179928,-0.00398119,-0.144429,0.303741,-0.01324,0.00192729,0.00335806,0.0122168,-0.0442615,cluster_3,ingroup,NA
PRJNA274877,SAMN03333215,Parus_major,missing,Kuandian,Liaoning,10732,CE,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,3370944,0.0674277,49927743,3.68392,0.149481,0.215831,0.14931,-0.261598,-0.162819,-0.264106,-0.754334,-0.192688,0.21093,-0.252907,cluster_1,ingroup,NA
PRJNA274877,SAMN03333195,Parus_major,missing,Lijiang,Yunnan,13924,EH,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,3547575,0.0709608,49965980,4.20951,0.184656,-0.182736,-6.70028e-4,-0.123473,0.316793,-0.0383795,-0.00265839,0.0195079,-0.0404392,-0.0117089,cluster_3,ingroup,NA
PRJNA274877,SAMN03333216,Parus_major,missing,Kuandian,Liaoning,10860,CE,Asia,China,NA,NA,NA,GCF_001522545.3,Parus_major,49993475,0,4473460,0.0894809,49960135,4.17651,0.147197,0.213671,0.11242,-0.209986,-0.160438,-0.0871133,0.15347,0.670047,-0.381702,-0.448784,cluster_1,ingroup,NA
