BioProject,BioSample,Organism,Submitter_Id,sex,Locality,Country,Longitude,Latitude,Continent,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJNA255814,SAMN06619718,Passer_italiae,Pitaliae_27_Guglionesi_433,male,Guglionesi,Italy,"~ 14° 54' 50""E","~ 41° 54'48.25"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,832907,0.00876612,46667221,11.8001,0.0194441,-0.00436347,-0.032929,7.42533e-4,-8.02393e-4,1.62766e-4,-0.00124338,2.6448e-4,-7.24841e-4,-2.12527e-4,cluster_2,outgroup,NA
PRJEB27649,SAMEA4785070,Passer_italiae,Crotone498,male,Crotone,Italy,"17°06'59.4"" E","39°04'31.7"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,833295,0.0087702,46665724,9.80086,0.0197751,-0.0183956,-0.022647,-3.65384e-5,-8.12272e-4,-0.0010391,-4.24795e-4,-8.39604e-4,-7.35071e-6,-7.86544e-4,cluster_2,outgroup,NA
PRJEB27649,SAMEA4785110,Passer_hispaniolensis,KAZ14061,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus,95014342,0,833360,0.00877089,37216706,11.724,0.0220568,-0.101217,0.0820637,0.00114347,-7.54344e-4,3.9425e-4,6.82454e-4,1.87499e-4,-1.92473e-4,1.01988e-4,cluster_1,outgroup,NA
PRJNA255814,SAMN06619715,Passer_italiae,Pitaliae_24_Guglionesi_429,male,Guglionesi,Italy,"~ 14° 54' 50""E","~ 41° 54'48.25"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,834755,0.00878557,46667047,11.4424,0.0195025,-0.00331857,-0.0390681,2.78123e-4,-5.18811e-4,6.60715e-4,-6.41541e-4,-6.64805e-4,5.38709e-4,3.12782e-4,cluster_2,outgroup,NA
PRJEB27649,SAMEA4785115,Passer_domesticus,Pdomesticus_4_Kardeh_4,male,Kardeh,Iran,"59°40'03.5"" E","36°39'21.7"" N",Asia,GCA_001700915.1,Passer_domesticus,95014342,0,835915,0.00879778,58584260,18.0184,0.00820815,0.171318,0.148769,0.00105282,7.60358e-4,-0.00262078,0.00167158,-0.00138891,-0.00139552,-7.49991e-4,cluster_5,ingroup,NA
PRJEB27649,SAMEA4785103,Passer_hispaniolensis,KAZ14032,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus,95014342,0,836275,0.00880157,37216577,11.204,0.0221064,-0.102629,0.0808855,2.51986e-4,-6.78424e-4,1.35434e-4,0.00129072,7.80028e-4,-1.35902e-4,-3.59714e-4,cluster_1,outgroup,NA
PRJNA255814,SAMN06619712,Passer_italiae,Pitaliae_21_Guglionesi_426,male,Guglionesi,Italy,"~ 14° 54' 50""E","~ 41° 54'48.25"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,840137,0.00884221,46667572,12.3279,0.019498,-0.00459906,-0.0365301,1.39832e-4,-1.47081e-4,-0.00100303,-8.91964e-4,-5.15079e-4,0.00116845,2.03572e-4,cluster_2,outgroup,NA
PRJEB27649,SAMEA4785109,Passer_hispaniolensis,KAZ14059,male,Chokpak,Kazahkstan,"70°34'18.9"" E","42°37'15.5"" N",Asia,GCA_001700915.1,Passer_domesticus,95014342,0,843158,0.00887401,37216475,10.9181,0.0221031,-0.102156,0.0800271,7.51357e-4,-2.08919e-4,1.05787e-4,6.47095e-4,2.19933e-4,-1.07642e-4,-3.7728e-4,cluster_1,outgroup,NA
PRJNA255814,SAMN06619703,Passer_hispaniolensis,Phisp_12_Lesina_281,male,Lesina,Italy,"~ 15° 27' 03""E","~ 41° 51'30.84"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,844164,0.0088846,37217071,11.7491,0.0219864,-0.0969512,0.0778313,-6.92847e-4,-6.6864e-4,-1.2187e-4,0.00108116,-1.45371e-4,1.7594e-4,-4.28379e-4,cluster_1,outgroup,NA
PRJEB27649,SAMEA4785133,Passer_hispaniolensis,SA003,male,Sardinia,Italy,"9°37'32.5""E","40°23'36.2"" N",Europe,GCA_001700915.1,Passer_domesticus,95014342,0,847654,0.00892133,37216148,10.1669,0.0214664,-0.0734018,0.0392927,6.8555e-4,-7.15524e-4,1.38953e-4,6.7561e-6,-8.1531e-4,-5.42302e-4,-2.46256e-4,cluster_1,outgroup,NA
