BioProject,BioSample,Organism,sex,Submitter_Id,Lake,Sampling_Year,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
PRJEB38173,SAMEA6816060,Amphilophus_viridis,missing,Xil_vir_d_ben_01263,CL Xiloá,2007,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,358114,0.0210176,5512556,18.2193,0.0354283,-0.0479289,-0.00299929,0.00214216,-0.016071,0.00255757,-0.00556522,-0.028161,0.00264157,0.0548416,cluster_9,exclude,2
PRJEB38173,SAMEA6816068,Amphilophus_viridis,missing,Xil_vir_d_ben_13109,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,361820,0.0212351,5512283,20.0969,0.0364413,-0.0512865,-0.00863635,0.00730946,-0.0157636,8.09248e-5,-0.0043432,-0.0228835,0.00529973,0.0513463,cluster_9,exclude,2
PRJEB38173,SAMEA6816087,Amphilophus_xiloaensis,missing,Xil_xil_d_ben_13152,CL Xiloá,2010,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,362476,0.0212736,4632816,15.4669,0.0407604,-0.0861305,-0.0161731,0.00691075,-0.0384621,0.00136003,-0.00321965,0.00414252,0.00238695,0.0145544,cluster_1,exclude,2
PRJEB38173,SAMEA6815812,Amphilophus_tolteca,missing,AsM_tol_g_sho_02370,CL As. Managua,2013,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,363476,0.0213323,5446604,24.5618,0.0292802,0.0649454,-0.115728,0.031301,-0.00307461,-5.97166e-4,0.0118507,0.0371416,-0.165483,0.00481422,cluster_3,outgroup,NA
PRJEB38173,SAMEA6815661,Amphilophus_astorquii,missing,Apo_cl2_d_ben_07682,CL Apoyo,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,365095,0.0214273,5174418,19.2248,-0.0720394,-0.00928425,-0.00300738,0.00248842,0.00279902,3.4428e-4,-0.020016,0.0088402,3.42394e-4,1.65093e-4,cluster_5,outgroup,NA
PRJEB38173,SAMEA6815755,Amphilophus_zaliosus,missing,Apo_zal_d_lim_03124,CL Apoyo,2003,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,366437,0.0215061,4536869,15.8596,-0.0790988,-0.014411,-0.00529624,5.4644e-4,0.00505642,-0.166373,0.111638,-0.0211711,0.00247639,6.87089e-4,cluster_10,exclude,11
PRJEB38173,SAMEA6815739,Amphilophus_globosus,missing,Apo_glo_d_ben_MO631,CL Apoyo,2009,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,367290,0.0215561,4896501,27.5408,-0.0806782,-0.0126896,-0.0106446,0.0128279,0.00722575,0.139959,0.0941682,-0.0150436,-0.00417776,0.00163055,cluster_10,outgroup,9
PRJEB38173,SAMEA6815811,Amphilophus_tolteca,missing,AsM_tol_g_sho_02369,CL As. Managua,2013,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,369631,0.0216935,5446677,27.581,0.0302623,0.0647418,-0.114637,0.0269742,-0.0016274,-0.00365545,0.00709534,0.0278999,-0.149593,0.00529362,cluster_3,outgroup,NA
PRJEB38173,SAMEA6816030,Amphilophus_amarillo,missing,Xil_ama_d_ben_19481,CL Xiloá,2015,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,370123,0.0217224,5442581,15.856,0.036343,-0.0477814,-0.00541494,0.00172675,-0.0255645,-0.00111357,-0.00492621,-0.0359291,0.015019,0.134277,cluster_9,outgroup,NA
PRJEB38173,SAMEA6816012,Amphilophus_amarillo,missing,Xil_ama_d_ben_07661,CL Xiloá,2014,GCA_013435755.1,Amphilophus_citrinellus,17038782,0,370282,0.0217317,5442853,15.2594,0.0369922,-0.0516256,-0.00349052,0.00424614,-0.0281151,8.33892e-5,-0.00841484,-0.0412548,0.0238754,0.129131,cluster_9,outgroup,NA
