Organism,BioProject,BioSample,sex,Submitter_Id,Locality,refGenome,refSpecies,N_DATA,N_GENOTYPES_FILTERED,N_MISS,F_MISS,N_SITES,MEAN_DEPTH,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,cluster,SampleType,rel_cluster
Clupea_harengus,PRJNA338612,SAMN05589086,missing,BAH3,Bothnian Sea (Gävle),GCF_900700415.1,Clupea_harengus,55155261,0,43420815,0.787247,43563763,0.0388644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589083,missing,BF3,Southern Baltic Sea (Fehmarn),GCF_900700415.1,Clupea_harengus,55155261,0,43437174,0.787544,43563760,0.133799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589094,missing,GeBA,German Banks,GCF_900700415.1,Clupea_harengus,55155261,0,43445906,0.787702,43563740,0.171262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589082,missing,BF2,Southern Baltic Sea (Fehmarn),GCF_900700415.1,Clupea_harengus,55155261,0,43449054,0.787759,43563937,0.126273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589098,missing,NsFA,Northumberland Strait,GCF_900700415.1,Clupea_harengus,55155261,0,43449546,0.787768,43563865,0.141595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589091,missing,BoBB,Bonavista Bay,GCF_900700415.1,Clupea_harengus,55155261,0,43451047,0.787795,43563755,0.14618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589081,missing,BF1,Southern Baltic Sea (Fehmarn),GCF_900700415.1,Clupea_harengus,55155261,0,43452460,0.787821,43563899,0.141132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589090,missing,BoBA,Bonavista Bay,GCF_900700415.1,Clupea_harengus,55155261,0,43455376,0.787874,43563655,0.158351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589093,missing,FBB,Fortune Bay,GCF_900700415.1,Clupea_harengus,55155261,0,43458456,0.787929,43563733,0.152597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589092,missing,FBA,Fortune Bay,GCF_900700415.1,Clupea_harengus,55155261,0,43458454,0.787929,43563733,0.152547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589100,missing,NsSA,Northumberland Strait,GCF_900700415.1,Clupea_harengus,55155261,0,43458721,0.787934,43563824,0.0546358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589085,missing,BAH2,Bothnian Sea (Gävle),GCF_900700415.1,Clupea_harengus,55155261,0,43459684,0.787952,43564026,0.0209345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589096,missing,InBA,Inner Baie Des Chaleurs,GCF_900700415.1,Clupea_harengus,55155261,0,43462878,0.78801,43563932,0.0849633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589101,missing,NsSB,Northumberland Strait,GCF_900700415.1,Clupea_harengus,55155261,0,43463580,0.788022,43563938,0.0255259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589089,missing,NS3,North Sea,GCF_900700415.1,Clupea_harengus,55155261,0,43465017,0.788048,43563936,0.0331666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589088,missing,NS2,North Sea,GCF_900700415.1,Clupea_harengus,55155261,0,43465790,0.788062,43563936,0.047299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589087,missing,NS1,North Sea,GCF_900700415.1,Clupea_harengus,55155261,0,43466842,0.788082,43563937,0.0713815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
Clupea_harengus,PRJNA338612,SAMN05589099,missing,NsFB,Northumberland Strait,GCF_900700415.1,Clupea_harengus,55155261,0,43469556,0.788131,43563879,0.0237533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,exclude,NA
