Organism	BioProject	BioSample	SampleName	Sex	Isolate	Country	Continent	Locality	Ecotype
Anguilla_anguilla	PRJNA668259	SAMN16492868	SMS26	missing	SMS26	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492859	SMS17	missing	SMS17	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492858	SMS16	missing	SMS16	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492857	SMS15	missing	SMS15	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492587	ALI18	missing	ALI18	Lithuania	Europe	Lithuania:Curonian Lagoon	ALI
Anguilla_anguilla	PRJNA668259	SAMN16492578	AI150	missing	AI150	Ireland	Europe	Ireland:River Erne	AI
Anguilla_anguilla	PRJNA668259	SAMN16492564	AI136	missing	AI136	Ireland	Europe	Ireland:River Erne	AI
Anguilla_anguilla	PRJNA668259	SAMN16492552	AI124	missing	AI124	Ireland	Europe	Ireland:River Erne	AI
Anguilla_anguilla	PRJNA668259	SAMN16492538	AI110	missing	AI110	Ireland	Europe	Ireland:River Erne	AI
Anguilla_anguilla	PRJNA668259	SAMN16492519	AES26	missing	AES26	United Kingdom	Europe	United Kingdom: Severn river	AES
Anguilla_anguilla	PRJNA668259	SAMN16492513	AES20	missing	AES20	United Kingdom	Europe	United Kingdom: Severn river	AES
Anguilla_anguilla	PRJNA668259	SAMN16492834	ATU57	missing	ATU57	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492830	ATU53	missing	ATU53	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492806	ATU31	missing	ATU31	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492791	ATU16	missing	ATU16	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492789	ATU14	missing	ATU14	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492786	ATU11	missing	ATU11	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492781	AST6	missing	AST6	Sweden	Europe	Sweden:Stromsan	AST
Anguilla_anguilla	PRJNA668259	SAMN16492772	AST26	missing	AST26	Sweden	Europe	Sweden:Stromsan	AST
Anguilla_anguilla	PRJNA668259	SAMN16492746	ASRI2	missing	ASRI2	Sweden	Europe	Sweden:Ringhals	ASRI
Anguilla_anguilla	PRJNA668259	SAMN16492729	ASRI14	missing	ASRI14	Sweden	Europe	Sweden:Ringhals	ASRI
Anguilla_anguilla	PRJNA668259	SAMN16492717	APM49	missing	APM49	Portugal	Europe	Portugal:Mira river	APM
Anguilla_anguilla	PRJNA668259	SAMN16492713	APM45	missing	APM45	Portugal	Europe	Portugal:Mira river	APM
Anguilla_anguilla	PRJNA668259	SAMN16492693	APM26	missing	APM26	Portugal	Europe	Portugal:Mira river	APM
Anguilla_anguilla	PRJNA668259	SAMN16492692	APM25	missing	APM25	Portugal	Europe	Portugal:Mira river	APM
Anguilla_anguilla	PRJNA668259	SAMN16492687	APM20	missing	APM20	Portugal	Europe	Portugal:Mira river	APM
Anguilla_anguilla	PRJNA668259	SAMN16492682	APM15	missing	APM15	Portugal	Europe	Portugal:Mira river	APM
Anguilla_anguilla	PRJNA668259	SAMN16492674	AMAR7	missing	AMAR7	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492671	AMAR50	missing	AMAR50	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492670	AMAR4	missing	AMAR4	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492649	AMAR30	missing	AMAR30	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492643	AMAR25	missing	AMAR25	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492641	AMAR23	missing	AMAR23	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492637	AMAR1	missing	AMAR1	Morocco	Africa	Morocco:Oued Sebou	AMAR
Anguilla_anguilla	PRJNA668259	SAMN16492610	ALI40	missing	ALI40	Lithuania	Europe	Lithuania:Curonian Lagoon	ALI
Anguilla_anguilla	PRJNA668259	SAMN16492620	ALI4	missing	ALI4	Lithuania	Europe	Lithuania:Curonian Lagoon	ALI
Anguilla_anguilla	PRJNA668259	SAMN16492608	ALI39	missing	ALI39	Lithuania	Europe	Lithuania:Curonian Lagoon	ALI
Anguilla_anguilla	PRJNA668259	SAMN16492598	ALI29	missing	ALI29	Lithuania	Europe	Lithuania:Curonian Lagoon	ALI
Anguilla_anguilla	PRJNA668259	SAMN16492449	AAF5	missing	AAF5	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492411	AAF15	missing	AAF15	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492898	SMS8	missing	SMS8	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492894	SMS50	missing	SMS50	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492892	SMS49	missing	SMS49	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492886	SMS43	missing	SMS43	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492883	SMS40	missing	SMS40	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492893	SMS4	missing	SMS4	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492875	SMS33	missing	SMS33	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492874	SMS32	missing	SMS32	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492870	SMS28	missing	SMS28	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492453	AAF9	missing	AAF9	France	Europe	France:Arzal	AAF
Anguilla_anguilla	PRJNA668259	SAMN16492866	SMS24	missing	SMS24	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492862	SMS20	missing	SMS20	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492855	SMS13	missing	SMS13	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492854	SMS12	missing	SMS12	Sweden	Europe	Sweden:Motala strom	SMS
Anguilla_anguilla	PRJNA668259	SAMN16492838	ATU60	missing	ATU60	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492809	ATU34	missing	ATU34	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492807	ATU32	missing	ATU32	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
Anguilla_anguilla	PRJNA668259	SAMN16492805	ATU30	missing	ATU30	Tunisia	Africa	Tunisia:Oued Medjerda	ATU
