BioSample,refGenome,Organism,lat,long
SAMEA2338559,GCA_000180675.1,Gasterosteus_aculeatus,54.20418930053711,10.561638832092285
SAMEA2338560,GCA_000180675.1,Gasterosteus_aculeatus,54.26361846923828,10.040130615234375
SAMEA2338561,GCA_000180675.1,Gasterosteus_aculeatus,60.255367279052734,5.926577091217041
SAMEA2338562,GCA_000180675.1,Gasterosteus_aculeatus,61.57609939575195,-149.77374267578125
SAMEA2338563,GCA_000180675.1,Gasterosteus_aculeatus,50.60289001464844,-127.25230407714844
SAMEA2338564,GCA_000180675.1,Gasterosteus_aculeatus,50.60289001464844,-127.25230407714844
SAMEA2338565,GCA_000180675.1,Gasterosteus_aculeatus,54.28386688232422,9.948807716369629
SAMEA2338566,GCA_000180675.1,Gasterosteus_aculeatus,61.56909942626953,-149.75999450683594
SAMEA2338567,GCA_000180675.1,Gasterosteus_aculeatus,54.28386688232422,9.948807716369629
SAMEA2338568,GCA_000180675.1,Gasterosteus_aculeatus,60.24488067626953,5.915387153625488
SAMEA2338569,GCA_000180675.1,Gasterosteus_aculeatus,54.20418930053711,10.561638832092285
SAMEA2338570,GCA_000180675.1,Gasterosteus_aculeatus,61.56909942626953,-149.75999450683594
SAMEA2338571,GCA_000180675.1,Gasterosteus_aculeatus,50.604557037353516,-127.26174926757812
SAMEA2338572,GCA_000180675.1,Gasterosteus_aculeatus,60.24488067626953,5.915387153625488
SAMEA2338573,GCA_000180675.1,Gasterosteus_aculeatus,50.60289001464844,-127.25230407714844
SAMEA2338574,GCA_000180675.1,Gasterosteus_aculeatus,61.56909942626953,-149.75999450683594
SAMEA2338575,GCA_000180675.1,Gasterosteus_aculeatus,54.28386688232422,9.948807716369629
SAMEA2338576,GCA_000180675.1,Gasterosteus_aculeatus,60.255367279052734,5.926577091217041
SAMEA2338577,GCA_000180675.1,Gasterosteus_aculeatus,61.56909942626953,-149.75999450683594
SAMEA2338578,GCA_000180675.1,Gasterosteus_aculeatus,61.57609939575195,-149.77374267578125
SAMEA2338579,GCA_000180675.1,Gasterosteus_aculeatus,54.156002044677734,10.430144309997559
SAMEA2338580,GCA_000180675.1,Gasterosteus_aculeatus,54.26361846923828,10.040130615234375
SAMEA2338581,GCA_000180675.1,Gasterosteus_aculeatus,54.26361846923828,10.040130615234375
SAMEA2338582,GCA_000180675.1,Gasterosteus_aculeatus,54.20418930053711,10.561638832092285
SAMEA2338583,GCA_000180675.1,Gasterosteus_aculeatus,61.57609939575195,-149.77374267578125
SAMEA2338584,GCA_000180675.1,Gasterosteus_aculeatus,54.26361846923828,10.040130615234375
SAMEA2338585,GCA_000180675.1,Gasterosteus_aculeatus,50.60289001464844,-127.25230407714844
SAMEA2338586,GCA_000180675.1,Gasterosteus_aculeatus,50.604557037353516,-127.26174926757812
SAMEA2338587,GCA_000180675.1,Gasterosteus_aculeatus,54.20418930053711,10.561638832092285
SAMEA2338588,GCA_000180675.1,Gasterosteus_aculeatus,60.24488067626953,5.915387153625488
SAMEA2338589,GCA_000180675.1,Gasterosteus_aculeatus,60.255367279052734,5.926577091217041
SAMEA2338590,GCA_000180675.1,Gasterosteus_aculeatus,61.56909942626953,-149.75999450683594
SAMEA2338591,GCA_000180675.1,Gasterosteus_aculeatus,61.57609939575195,-149.77374267578125
SAMEA2338592,GCA_000180675.1,Gasterosteus_aculeatus,54.28386688232422,9.948807716369629
SAMEA2338593,GCA_000180675.1,Gasterosteus_aculeatus,54.20418930053711,10.561638832092285
SAMEA2338594,GCA_000180675.1,Gasterosteus_aculeatus,54.156002044677734,10.430144309997559
SAMEA2338595,GCA_000180675.1,Gasterosteus_aculeatus,54.26361846923828,10.040130615234375
SAMEA2338596,GCA_000180675.1,Gasterosteus_aculeatus,60.255367279052734,5.926577091217041
SAMEA2338597,GCA_000180675.1,Gasterosteus_aculeatus,61.57609939575195,-149.77374267578125
SAMEA2338598,GCA_000180675.1,Gasterosteus_aculeatus,54.156002044677734,10.430144309997559
SAMEA2661249,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661291,GCF_900246225.1,Astatotilapia_calliptera,NA,NA
SAMEA2661293,GCF_900246225.1,Astatotilapia_calliptera,NA,NA
SAMEA2661295,GCF_900246225.1,Astatotilapia_calliptera,NA,NA
SAMEA2661297,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661298,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661299,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661300,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661301,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661302,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661303,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661304,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661306,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661307,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661308,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661309,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661310,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661311,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661313,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661316,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661318,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661319,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661320,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661321,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661322,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661323,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661324,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661325,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661326,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661327,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661328,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661330,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661331,GCF_900246225.1,Astatotilapia_spp,NA,NA
SAMEA2661332,GCF_900246225.1,Astatotilapia_spp,NA,NA
